include,confidence,number,title,category,floors,revision,level,file,pages,notes
yes,medium,194231,Deluxe Studio - Type B (Pattress and Sockets Setting Out),Pattress,Ground Floor | Floor 1 | Floor 2 | Floor 3 | Floor 4 | Floor 5,P01,ZZ,100-JMA-XX-ZZ-DR-A-194231.pdf,1,
yes,high,001200,Grid Line Setting Out,Setting Out,Ground Floor,C01,00,100-JMA-ZZ-00-DR-A-001200.pdf,1,
yes,medium,132200,Level 00 Door Plan,GA,Ground Floor,C04,00,100-JMA-ZZ-00-DR-A-132200.pdf,1,manual title tweak
yes,medium,132200M,Level 00M Door Plan,GA,Ground Floor,C03,00,100-JMA-ZZ-00-DR-A-132200M.pdf,1,manual title tweak
yes,high,061201,Level 01 Partition Setting Out,Setting Out,Floor 1,C01,01,100-JMA-ZZ-01-DR-A-061201.pdf,1,
yes,high,062201,Level 01 Wall Types Plan,Setting Out,Floor 1,C03,01,100-JMA-ZZ-01-DR-A-062201.pdf,1,
yes,high,132201,Level 01 - Door Plan,GA,Floor 1,C04,01,100-JMA-ZZ-01-DR-A-132201.pdf,1,
yes,high,022202,Level 02 GA Plan,GA,Floor 2,C04,02,100-JMA-ZZ-02-DR-A-022202.pdf,1,
yes,high,033202,Level 02 Reflected Ceiling Plan,RCP,Floor 2 | Floor 4,C01,02,100-JMA-ZZ-02-DR-A-033202.pdf,1,floors from Applicable-to note
NO,high,061202,Level 02 Partition Setting Out,Setting Out,Floor 2 | Floor 4,C03,02,100-JMA-ZZ-02-DR-A-061202 (1).pdf,1,duplicate skipped · floors from Applicable-to note
yes,high,061202,Level 02 Partition Setting Out,Setting Out,Floor 2 | Floor 4,C04,02,100-JMA-ZZ-02-DR-A-061202 (2).pdf,1,duplicate skipped · preferred dup (rev C04) · floors from Applicable-to note
yes,high,062202,Level 02 Wall Types Plan,Setting Out,Floor 2 | Floor 4,C06,02,100-JMA-ZZ-02-DR-A-062202 (1).pdf,1,floors from Applicable-to note
yes,high,132202,Level 02 - Door Plan,GA,Floor 2 | Floor 4,C05,02,100-JMA-ZZ-02-DR-A-132202 (2).pdf,1,duplicate skipped · preferred dup (rev C05) · floors from Applicable-to note
NO,high,132202,Level 02 - Door Plan,GA,Floor 2 | Floor 4,C02,02,100-JMA-ZZ-02-DR-A-132202.pdf,1,duplicate skipped · floors from Applicable-to note
yes,high,191202,Level 02 Pattress Scoping Out Plan,Pattress,Floor 2,C01,02,100-JMA-ZZ-02-DR-A-191202.pdf,1,
yes,high,212202,Level 02 Fire Strategy Plan,Fire,Floor 2 | Floor 4,C03,02,100-JMA-ZZ-02-DR-A-212202.pdf,1,floors from Applicable-to note
